Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PL2DjJdCTFBQic_tBkTObCtKRxFkq7Q9Ek,UC_5-OtEfF3W1hCibhKzKfgw,2014-05-25 20:04:24 UTC,2021-01-18 11:56:05 UTC,Anime,,Private

Video Id,Time Added
MjE1_8Zeos4,2014-05-26 21:02:40 UTC
8qqvPmsXMyI,2014-05-26 21:03:05 UTC
N8GBvYRUAbY,2014-05-26 21:04:35 UTC
PCzoWAsglfQ,2014-05-26 21:04:57 UTC
UktJS8zOQjQ,2014-05-26 21:05:04 UTC
ssyFKh5n0PM,2014-05-26 21:05:13 UTC
5d3q2ql_Dnw,2014-05-26 21:05:18 UTC
vlp6QawpZCY,2014-05-26 21:05:50 UTC
6T51shiwvjM,2014-05-26 21:05:58 UTC
KAAoLAcZTAA,2014-05-26 21:06:06 UTC
FfEeI7GRue8,2014-05-26 21:06:42 UTC
qWVX25ptwdQ,2014-05-26 21:06:59 UTC
 -Zqpe6W3-zc,2014-05-26 21:07:24 UTC
2z7TdPrLnZ0,2014-05-26 21:07:30 UTC
wkfR0BBSH-M,2014-05-26 21:07:37 UTC
qoAKk5jGbAU,2014-05-26 21:07:43 UTC
seA18xpUl48,2014-05-26 21:08:48 UTC
j93C4toI0gg,2014-05-26 21:08:56 UTC
09o69QGNA30,2014-05-26 21:09:33 UTC
Zj5-JMeZ8ZI,2014-05-26 21:09:44 UTC
LZWZe8Q2QAc,2014-05-26 21:09:51 UTC
FWJsC39MfuA,2014-05-26 21:10:09 UTC
B22DfnaMRuE,2014-05-26 21:10:18 UTC
4I65nJN00fY,2014-05-26 21:10:24 UTC
Fl8HXxjGZto,2014-05-26 21:10:30 UTC
QvMS8bntMvc,2014-05-26 21:10:38 UTC
QJ6VihNXYXA,2014-05-26 21:10:45 UTC
yqpTKl1EBc4,2014-05-26 21:10:51 UTC
brhszbL1fq8,2014-05-26 21:10:57 UTC
O4M08hLVdTY,2014-05-26 21:11:25 UTC
VXuvnzA6DaI,2014-05-26 21:11:34 UTC
uki1YHbIgxk,2014-05-26 21:13:21 UTC
WdaM4mZZA1I,2014-05-26 21:19:00 UTC
C12npcjRBV0,2014-05-26 21:19:11 UTC
WdtDKg7Dslk,2014-05-26 21:19:39 UTC
Co6fFNa4CEk,2014-05-26 21:19:53 UTC
DpKr6hImMgE,2014-05-26 21:27:09 UTC
P3K4YStQVx8,2014-05-31 12:17:38 UTC
3t49LkmNhBc,2014-06-01 09:09:17 UTC
3bO_RY5nD6o,2014-06-01 09:09:20 UTC
lklgxNjwZec,2014-06-04 17:43:16 UTC
P7Gqh14BOZc,2014-06-05 19:34:01 UTC
2z9lOcXCtTM,2014-06-14 16:54:32 UTC
d-SOlMBbAew,2014-06-20 11:53:58 UTC
F9wz1wtvIKI,2014-06-21 21:30:52 UTC
6uAiAyB2ZlY,2014-06-24 23:56:00 UTC
LwuCi-yCl2c,2014-06-25 09:56:33 UTC
4gAnrkhtVF0,2014-07-05 15:44:43 UTC
kOw1ngnVh_U,2014-07-05 19:41:19 UTC
M5jagjDppK8,2014-07-05 20:00:33 UTC
8xNi4_GDnI0,2014-07-05 21:04:55 UTC
Gw9VZ7RJF8I,2014-07-22 19:42:19 UTC
NWsa1_WKvc4,2014-07-26 17:07:21 UTC
-2NP-goYn0w,2014-07-26 23:16:06 UTC
vOEjtQn_DdU,2014-07-26 23:25:24 UTC
YNy5vDaTEyI,2014-08-08 19:38:45 UTC
pcTL2uL5ato,2014-08-08 19:50:39 UTC
dj1qnCC4upk,2014-08-15 14:54:25 UTC
68T9PCEcriY,2014-08-16 14:12:09 UTC
Hd1L9QND3K0,2014-08-21 14:12:18 UTC
TrJXXnY9rMM,2014-08-21 19:59:38 UTC
yJuEBC6OgQs,2014-08-29 18:35:02 UTC
HaVccSuWQrw,2014-09-06 15:38:18 UTC
kVTINOZghiQ,2014-09-12 12:02:21 UTC
O3WHfcYWS_w,2014-09-27 18:39:27 UTC
tlRfGbsCGI0,2014-10-07 18:51:34 UTC
izWOt72G-Zs,2014-10-30 19:43:44 UTC
gquyUlDpM2o,2014-11-13 18:52:17 UTC
LaK7fVGipLQ,2014-12-04 18:47:18 UTC
Z5_jTVpyefk,2014-12-13 13:28:50 UTC
wLM6x3odKp0,2014-12-18 10:41:02 UTC
9Bdqah8vSZg,2014-12-18 10:43:36 UTC
JFH_tP7l2vM,2014-12-18 11:38:17 UTC
pXsfkXWOZb0,2014-12-20 22:53:51 UTC
k22cfLP0lcI,2014-12-20 23:33:24 UTC
8STa7kfBQPc,2015-01-03 19:11:08 UTC
 -txly1kLEtY,2015-02-07 00:33:25 UTC
ciVCAKxJq1s,2015-02-21 12:54:06 UTC
lpa71Wmt__0,2015-03-13 15:47:54 UTC
RBAdPbn__nM,2015-03-20 22:11:12 UTC
EwAZX8FuHz4,2015-03-20 22:21:29 UTC
kE7SwdMaCNc,2015-03-28 13:25:29 UTC
0FVFGH7QSaw,2015-04-06 15:47:24 UTC
ZTg9E9impm0,2015-04-30 18:15:21 UTC
_ZZV6OPqLtM,2015-04-30 18:27:11 UTC
J_6rK424GEE,2015-05-23 08:20:37 UTC
-2Z2VjsmJmw,2015-05-23 08:38:28 UTC
JXo6RHbk1EY,2015-05-25 08:40:03 UTC
DfGnACjKUuo,2015-06-05 18:02:39 UTC
w0tYTsX93HE,2015-06-21 09:26:28 UTC
9wRcGQpQJCQ,2015-08-29 01:04:40 UTC
Xnn-orjz1aY,2015-08-29 01:12:31 UTC
UKLIFFIsEfg,2015-10-20 13:03:00 UTC
GI1gguN734A,2015-11-26 15:00:03 UTC
4n4b42vZ124,2015-12-24 23:48:08 UTC
fzkCaA98iBA,2016-01-19 19:01:15 UTC
2TFLlJ0CcwQ,2016-05-17 10:46:20 UTC
QIzfNelZjv8,2016-05-17 10:48:12 UTC
c1XkBmmT0Aw,2016-06-23 18:57:21 UTC
oqPOQF91EiE,2016-07-15 16:22:31 UTC
5r1PCMQWaTE,2017-08-05 20:40:05 UTC
HHIYd2orO9Q,2017-12-25 21:01:16 UTC
qP93ogtIM2k,2017-12-25 21:01:37 UTC
T88lr0506yM,2017-12-25 21:04:55 UTC
O5Y_YgzSuBM,2018-01-03 22:13:30 UTC
DmiMj96IkWk,2018-05-13 08:20:19 UTC
XegVvTlbOuk,2018-05-13 09:14:59 UTC
crU-NCj4H2c,2018-05-13 09:26:20 UTC
2w7pJ5cxiR0,2021-01-18 11:56:05 UTC

